5.812, -1.0, 1.0, 257.0, 2.38, -5.42, -64.31, 136.0, -434.0, -280.0, -94.0, -923.0, 7367.0
5.832, 0.0, 0.0, 257.0, 2.38, -5.42, -65.6, 135.0, -433.0, -281.0, -94.0, -923.0, 7367.0
5.852, -1.0, 0.0, 256.0, 2.36, -5.44, -66.86, 136.0, -435.0, -280.0, -94.0, -923.0, 7367.0
5.872, 0.0, 1.0, 256.0, 2.34, -5.42, -68.1, 137.0, -432.0, -280.0, -94.0, -923.0, 7367.0
5.894, -1.0, 1.0, 257.0, 2.34, -5.44, -69.32, 138.0, -434.0, -279.0, -97.0, -894.0, 7308.0
5.912, -1.0, 1.0, 257.0, 2.35, -5.43, -70.52, 135.0, -433.0, -280.0, -97.0, -894.0, 7308.0
5.933, -1.0, 1.0, 257.0, 2.35, -5.42, -71.69, 138.0, -434.0, -279.0, -97.0, -894.0, 7308.0
5.952, -1.0, 1.0, 257.0, 2.36, -5.41, -72.83, 137.0, -433.0, -279.0, -97.0, -894.0, 7308.0
5.972, 0.0, 1.0, 258.0, 2.36, -5.4, -73.96, 136.0, -434.0, -281.0, -97.0, -894.0, 7308.0
5.992, -1.0, 1.0, 257.0, 2.36, -5.42, -75.06, 133.0, -432.0, -279.0, -97.0, -894.0, 7308.0
6.014, -1.0, 1.0, 257.0, 2.36, -5.41, -76.14, 137.0, -435.0, -278.0, -80.0, -910.0, 7344.0
6.032, 0.0, 1.0, 256.0, 2.36, -5.4, -77.19, 137.0, -434.0, -280.0, -80.0, -910.0, 7344.0
6.052, -1.0, 1.0, 257.0, 2.36, -5.41, -78.22, 136.0, -432.0, -280.0, -80.0, -910.0, 7344.0
6.072, -1.0, 1.0, 257.0, 2.36, -5.4, -79.23, 137.0, -433.0, -279.0, -80.0, -910.0, 7344.0
6.092, -1.0, 0.0, 257.0, 2.36, -5.39, -80.22, 136.0, -433.0, -279.0, -80.0, -910.0, 7344.0
6.112, 0.0, 1.0, 257.0, 2.34, -5.38, -81.18, 138.0, -433.0, -280.0, -80.0, -910.0, 7344.0
6.134, -1.0, 1.0, 257.0, 2.35, -5.39, -82.13, 137.0, -434.0, -280.0, -56.0, -931.0, 7349.0
6.152, 0.0, 1.0, 257.0, 2.35, -5.38, -83.05, 136.0, -433.0, -279.0, -56.0, -931.0, 7349.0
6.172, 0.0, 1.0, 257.0, 2.35, -5.4, -83.95, 137.0, -436.0, -281.0, -56.0, -931.0, 7349.0
6.192, 0.0, 1.0, 257.0, 2.35, -5.41, -84.83, 137.0, -436.0, -279.0, -56.0, -931.0, 7349.0
6.212, -1.0, 1.0, 257.0, 2.35, -5.42, -85.69, 136.0, -433.0, -279.0, -56.0, -931.0, 7349.0
6.233, 0.0, 0.0, 257.0, 2.35, -5.4, -86.53, 135.0, -434.0, -281.0, -56.0, -931.0, 7349.0
6.254, -1.0, 1.0, 257.0, 2.33, -5.41, -87.35, 136.0, -434.0, -279.0, -69.0, -895.0, 7371.0
6.273, 0.0, 0.0, 257.0, 2.33, -5.4, -88.15, 137.0, -435.0, -280.0, -69.0, -895.0, 7371.0
